instructions,stimulus1,stimulus2,stimulus3,stimulus4,probeIm,probeCon,load,category,correctResp,arrowDir,mask1,mask2,mask3,mask4,instructionLoop.thisRepN,instructionLoop.thisTrialN,instructionLoop.thisN,instructionLoop.thisIndex,trials_Instr.thisRepN,trials_Instr.thisTrialN,trials_Instr.thisN,trials_Instr.thisIndex,repeat_InstrTrials.thisRepN,repeat_InstrTrials.thisTrialN,repeat_InstrTrials.thisN,repeat_InstrTrials.thisIndex,trials_instr2.thisRepN,trials_instr2.thisTrialN,trials_instr2.thisN,trials_instr2.thisIndex,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,textBefore_run,trialSelect,Welcome_text.started,Welcome_text.stopped,space1.keys,space1.rt,space1.started,space1.stopped,Instruction_text.started,Instruction_text.stopped,space2.keys,space2.rt,space2.started,space2.stopped,stim1_inst.started,stim1_inst.stopped,stim2_inst.started,stim2_inst.stopped,stim3_inst.started,stim3_inst.stopped,stim4_inst.started,stim4_inst.stopped,trialExplanation.started,trialExplanation.stopped,space3.keys,space3.rt,space3.started,space3.stopped,mask1_inst.started,mask1_inst.stopped,mask2_inst.started,mask2_inst.stopped,mask3_inst.started,mask3_inst.stopped,mask4_inst.started,mask4_inst.stopped,fixDelay_2.started,fixDelay_2.stopped,delayExplanation.started,delayExplanation.stopped,space4.keys,space4.rt,space4.started,space4.stopped,probe_inst.started,probe_inst.stopped,probeIndicator_inst.started,probeIndicator_inst.stopped,fixProbe_inst.started,fixProbe_inst.stopped,reponseInstr.keys,reponseInstr.corr,reponseInstr.rt,reponseInstr.started,reponseInstr.stopped,probeInst.started,probeInst.stopped,rewardInst.started,rewardInst.stopped,space5.keys,space5.rt,space5.started,space5.stopped,Button_reminder.started,Button_reminder.stopped,space6.keys,space6.rt,space6.started,space6.stopped,fixStartTrial_2.started,fixStartTrial_2.stopped,stim1_Practice.started,stim1_Practice.stopped,stim2_Practice.started,stim2_Practice.stopped,stim3_Practice.started,stim3_Practice.stopped,stim4_Practice.started,stim4_Practice.stopped,fixDelay_Practice.started,fixDelay_Practice.stopped,probe_Practice.started,probe_Practice.stopped,probeIndicator_Practice.started,probeIndicator_Practice.stopped,fixProbe_Practice.started,fixProbe_Practice.stopped,keyResp_Practice.keys,keyResp_Practice.corr,keyResp_Practice.started,keyResp_Practice.stopped,mask1_prac.started,mask1_prac.stopped,mask2_prac.started,mask2_prac.stopped,mask3_prac.started,mask3_prac.stopped,mask4_prac.started,mask4_prac.stopped,feedbackText.started,feedbackText.stopped,keyResp_Practice.rt,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,text_7.started,text_7.stopped,participant,session,age,sex at birth,dominant hand,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.696825799997896,None,space,1.4608487999939825,22.696825799997896,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,099,001,21,m,r,2021_Feb_27_1956,Working memory load,2020.2.10,60.03579333646645,
"On each trial, your task will be to remember images that are presented to you. The images will consist of either faces or scenes and there can be anywhere from one to four images per trial.  (Press 'space')",,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,24.28854120001779,None,space,2.1101165000000037,24.28854120001779,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,099,001,21,m,r,2021_Feb_27_1956,Working memory load,2020.2.10,60.03579333646645,
At the end of a trial you will have to indicate whether a test image presented after a short delay was part of the items that you remembered. (Press 'space'),,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,26.466517599998042,None,space,5.407791100005852,26.466517599998042,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,099,001,21,m,r,2021_Feb_27_1956,Working memory load,2020.2.10,60.03579333646645,
"Possible answers: if the test image was part of the memory images, then you have to either press the left arrow key if "<" is presented with the test image or right arrow key if ">" is presented (Press 'space') ",,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,31.93468910001684,None,space,5.722101300023496,31.93468910001684,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,099,001,21,m,r,2021_Feb_27_1956,Working memory load,2020.2.10,60.03579333646645,
"If the image is NOT part of the memorized images, then NO response is needed (Press 'space')",,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,37.700932000007015,None,space,3.9282756999891717,37.700932000007015,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,099,001,21,m,r,2021_Feb_27_1956,Working memory load,2020.2.10,60.03579333646645,
"During the short remembering period, try to actively keep the images in your mind's eye. (Press 'space')",,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,41.69266130001051,None,space,3.760710400005337,41.69266130001051,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,099,001,21,m,r,2021_Feb_27_1956,Working memory load,2020.2.10,60.03579333646645,
Now we will see an example of a trial. (Press 'space'),,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,45.49428920002538,None,space,1.8963836999901105,45.49428920002538,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,099,001,21,m,r,2021_Feb_27_1956,Working memory load,2020.2.10,60.03579333646645,
,scrambles/id064_v1_ff.jpg,scrambles/id054_v1_ff.jpg,scrambles/id043_v1_ff.jpg,images/id052_v1_ff.jpg,images/id064_v1_ff.jpg,0,1,ff,None,>,scrambles/id025_v1_fm.jpg,scrambles/id112_v1_so.jpg,scrambles/id082_v1_si.jpg,scrambles/id055_v1_ff.jpg,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,47.56624460002058,None,47.56624460002058,None,47.56624460002058,None,47.56624460002058,None,47.56624460002058,None,space,5.934861799993087,47.56624460002058,None,53.5526552000083,None,53.5526552000083,None,53.5526552000083,None,53.5526552000083,None,53.74087020001025,None,53.74087020001025,None,space,3.615249499998754,53.74087020001025,None,57.393225400010124,59.90685190001386,57.393225400010124,59.90685190001386,59.89036000001943,None,left,0,6.827840000012657,59.89036000001943,None,59.89036000001943,None,66.74230120002176,None,space,6.885808499995619,66.74230120002176,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,099,001,21,m,r,2021_Feb_27_1956,Working memory load,2020.2.10,60.03579333646645,
,scrambles/id032_v1_fm.jpg,scrambles/id010_v1_fm.jpg,scrambles/id005_v1_fm.jpg,images/id010_v1_fm.jpg,images/id032_v1_fm.jpg,0,1,fm,None,<,scrambles/id115_v1_so.jpg,scrambles/id082_v1_si.jpg,scrambles/id025_v1_fm.jpg,scrambles/id068_v1_ff.jpg,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.8069617000001,None,space,4.721090300008655,73.8069617000001,None,78.64175690000411,None,84.64812350002467,87.95405340002617,84.64812350002467,87.95405340002617,84.64812350002467,87.95405340002617,84.64812350002467,87.95405340002617,88.13690010001301,98.13592600001721,98.13592600001721,99.3356423000223,98.13592600001721,99.3356423000223,99.3356423000223,None,None,1,98.13592600001721,None,87.93782240001019,88.13690010001301,87.93782240001019,88.13690010001301,87.93782240001019,88.13690010001301,87.93782240001019,88.13690010001301,102.32869880000362,None,,,,,,,,099,001,21,m,r,2021_Feb_27_1956,Working memory load,2020.2.10,60.03579333646645,
,scrambles/id068_v1_ff.jpg,images/id061_v1_ff.jpg,scrambles/id055_v1_ff.jpg,scrambles/id044_v1_ff.jpg,images/id061_v1_ff.jpg,1,1,ff,right,>,scrambles/id104_v1_si.jpg,scrambles/id115_v1_so.jpg,scrambles/id055_v1_ff.jpg,scrambles/id054_v1_ff.jpg,,,,,,,,,0,0,0,0,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.11857410002267,None,109.16940640000394,112.48490090001724,109.16940640000394,112.48490090001724,109.16940640000394,112.48490090001724,109.16940640000394,112.48490090001724,112.66762020002352,122.66683800000465,122.66683800000465,123.8664465000038,122.66683800000465,123.8664465000038,123.8664465000038,None,right,1,122.66683800000465,None,112.46875090000685,112.66762020002352,112.46875090000685,112.66762020002352,112.46875090000685,112.66762020002352,112.46875090000685,112.66762020002352,126.816433400003,None,0.8034915999742225,,,,,,,099,001,21,m,r,2021_Feb_27_1956,Working memory load,2020.2.10,60.03579333646645,
,scrambles/id104_v1_si.jpg,images/id073_v1_si.jpg,scrambles/id073_v1_si.jpg,scrambles/id086_v1_si.jpg,images/id088_v1_si.jpg,0,1,si,None,>,scrambles/id088_v1_si.jpg,scrambles/id055_v1_ff.jpg,scrambles/id122_v1_so.jpg,scrambles/id088_v1_si.jpg,,,,,,,,,0,0,0,0,0,2,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.61633290001191,None,133.66854370001238,136.98246290002135,133.66854370001238,136.98246290002135,133.66854370001238,136.98246290002135,133.66854370001238,136.98246290002135,137.16575290000765,147.18114150001202,147.16457030002493,148.36410130001605,147.16457030002493,148.36410130001605,148.36410130001605,None,None,1,147.16457030002493,None,136.96653240002342,137.18187860000762,136.96653240002342,137.18187860000762,136.96653240002342,137.18187860000762,136.96653240002342,137.18187860000762,151.31421500002034,None,,,,,,,,099,001,21,m,r,2021_Feb_27_1956,Working memory load,2020.2.10,60.03579333646645,
