instructions,stimulus1,stimulus2,stimulus3,stimulus4,probeIm,probeCon,load,category,correctResp,mask1,mask2,mask3,mask4,textBefore_run,trialSelect,dontSkipInstructions.thisRepN,dontSkipInstructions.thisTrialN,dontSkipInstructions.thisN,dontSkipInstructions.thisIndex,instructionLoop.thisRepN,instructionLoop.thisTrialN,instructionLoop.thisN,instructionLoop.thisIndex,trials_Instr.thisRepN,trials_Instr.thisTrialN,trials_Instr.thisN,trials_Instr.thisIndex,repeat_InstrTrials.thisRepN,repeat_InstrTrials.thisTrialN,repeat_InstrTrials.thisN,repeat_InstrTrials.thisIndex,trials_instr2.thisRepN,trials_instr2.thisTrialN,trials_instr2.thisN,trials_instr2.thisIndex,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Welcome_text.started,Welcome_text.stopped,space1.keys,space1.rt,space1.started,space1.stopped,Instruction_text.started,Instruction_text.stopped,space2.keys,space2.rt,space2.started,space2.stopped,stim1_inst.started,stim1_inst.stopped,stim2_inst.started,stim2_inst.stopped,stim3_inst.started,stim3_inst.stopped,stim4_inst.started,stim4_inst.stopped,trialExplanation.started,trialExplanation.stopped,space3.keys,space3.rt,space3.started,space3.stopped,mask1_inst.started,mask1_inst.stopped,mask2_inst.started,mask2_inst.stopped,mask3_inst.started,mask3_inst.stopped,mask4_inst.started,mask4_inst.stopped,fixDelay_2.started,fixDelay_2.stopped,delayExplanation.started,delayExplanation.stopped,space4.keys,space4.rt,space4.started,space4.stopped,probe_inst.started,probe_inst.stopped,fixProbe_inst.started,fixProbe_inst.stopped,reponseInstr.keys,reponseInstr.corr,reponseInstr.rt,reponseInstr.started,reponseInstr.stopped,probeInst.started,probeInst.stopped,rewardInst.started,rewardInst.stopped,space5.keys,space5.rt,space5.started,space5.stopped,Button_reminder.started,Button_reminder.stopped,space6.keys,space6.rt,space6.started,space6.stopped,fixStartTrial_2.started,fixStartTrial_2.stopped,stim1_Practice.started,stim1_Practice.stopped,stim2_Practice.started,stim2_Practice.stopped,stim3_Practice.started,stim3_Practice.stopped,stim4_Practice.started,stim4_Practice.stopped,fixDelay_Practice.started,fixDelay_Practice.stopped,probe_Practice.started,probe_Practice.stopped,fixProbe_Practice.started,fixProbe_Practice.stopped,keyResp_Practice.keys,keyResp_Practice.corr,keyResp_Practice.rt,keyResp_Practice.started,keyResp_Practice.stopped,mask1_prac.started,mask1_prac.stopped,mask2_prac.started,mask2_prac.stopped,mask3_prac.started,mask3_prac.stopped,mask4_prac.started,mask4_prac.stopped,feedbackText.started,feedbackText.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,text_7.started,text_7.stopped,text_run.started,text_run.stopped,trigger1.keys,trigger1.rt,trigger1.started,trigger1.stopped,fixStart.started,fixStart.stopped,stim1.started,stim1.stopped,stim2.started,stim2.stopped,stim3.started,stim3.stopped,stim4.started,stim4.stopped,fixDelay.started,fixDelay.stopped,probe.started,probe.stopped,fixProbe.started,fixProbe.stopped,keyResp.keys,keyResp.corr,keyResp.rt,keyResp.started,keyResp.stopped,mask1_run.started,mask1_run.stopped,mask2_prac_2.started,mask2_prac_2.stopped,mask3_run.started,mask3_run.stopped,mask4_run.started,mask4_run.stopped,fixStartTrial.started,fixStartTrial.stopped,participant,session,age,sex at birth,dominant hand,date,expName,psychopyVersion,frameRate,
On each trial your task will be to remember images that are presented to you. The images will consist of either faces or scenes and there can be either one to four images on a trial.,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,20.29345519997878,None,b,1.1575863999896683,20.29345519997878,None,21.584251099964604,None,y,0.17973669996717945,21.584251099964604,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,,2021_Mar_08_2117,Working memory load,2020.2.10,60.01453551240934,
At the end of a trial you will have to indicate whether a test image presented after a short delay was part of the items that you remembered. ,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,21.82466260000365,None,b,0.1030266999732703,21.82466260000365,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,,2021_Mar_08_2117,Working memory load,2020.2.10,60.01453551240934,
"If the test image was part of the memory images, then you have to press the left button (index finger)",,,,,,,,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,21.98191550001502,None,y,0.06047610001405701,21.98191550001502,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,,2021_Mar_08_2117,Working memory load,2020.2.10,60.01453551240934,
"If the image is NOT part of the memorized images, then press the right button (middle finger).",,,,,,,,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,22.100138399982825,None,b,0.05793089995859191,22.100138399982825,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,,2021_Mar_08_2117,Working memory load,2020.2.10,60.01453551240934,
"During the short remembering period, try to actively keep the images in your mind's eye. ",,,,,,,,,,,,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,22.205673000018578,None,y,0.04292500001611188,22.205673000018578,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,,2021_Mar_08_2117,Working memory load,2020.2.10,60.01453551240934,
Now we will see an example of a trial.,,,,,,,,,,,,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,22.289718099986203,None,b,0.053974099981132895,22.289718099986203,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,,2021_Mar_08_2117,Working memory load,2020.2.10,60.01453551240934,
,scrambles/id106_v1_so.jpg,images/id113_v1_so.jpg,scrambles/id133_v1_so.jpg,scrambles/id120_v1_so.jpg,images/id113_v1_so.jpg,1,1,so,b,scrambles/id128_v1_so.jpg,scrambles/id057_v1_ff.jpg,scrambles/id006_v1_fm.jpg,scrambles/id019_v1_fm.jpg,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.65799400000833,None,22.65799400000833,None,22.65799400000833,None,22.65799400000833,None,22.65799400000833,None,b,0.42006899998523295,22.65799400000833,None,23.201236199995037,None,23.201236199995037,None,23.201236199995037,None,23.201236199995037,None,23.32938650000142,None,23.32938650000142,None,b,0.5355020999559201,23.32938650000142,None,23.922603000013623,26.424933100002818,26.391494099982083,None,b,1,0.42710640002042055,26.391494099982083,None,26.391494099982083,None,26.843779199989513,None,b,2.2955650000367314,26.843779199989513,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,,2021_Mar_08_2117,Working memory load,2020.2.10,60.01453551240934,
,scrambles/id072_v1_si.jpg,scrambles/id085_v1_si.jpg,scrambles/id089_v1_si.jpg,images/id102_v1_si.jpg,images/id086_v1_si.jpg,0,1,si,y,scrambles/id019_v1_fm.jpg,scrambles/id133_v1_so.jpg,scrambles/id085_v1_si.jpg,scrambles/id011_v1_fm.jpg,,,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.3007426999975,None,b,2.7336131000192836,29.3007426999975,None,32.139700400002766,None,38.32816259999527,41.63292579998961,38.32816259999527,41.63292579998961,38.32816259999527,41.63292579998961,38.32816259999527,41.63292579998961,41.756751400011126,51.771703300008085,51.755225399974734,52.955105900007766,52.955105900007766,None,y,1,1.1288851000135764,51.755225399974734,None,41.6258066999726,41.839328499976546,41.6258066999726,41.839328499976546,41.6258066999726,41.839328499976546,41.6258066999726,41.839328499976546,55.83102109999163,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,,2021_Mar_08_2117,Working memory load,2020.2.10,60.01453551240934,
,images/id128_v1_so.jpg,images/id110_v1_so.jpg,images/id129_v1_so.jpg,images/id125_v1_so.jpg,images/id116_v1_so.jpg,0,4,so,y,scrambles/id006_v1_fm.jpg,scrambles/id011_v1_fm.jpg,scrambles/id072_v1_si.jpg,scrambles/id022_v1_fm.jpg,,,0,0,0,0,,,,,,,,,0,0,0,0,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.62141770002199,None,62.72391719999723,66.03759019996505,62.72391719999723,66.03759019996505,62.72391719999723,66.03759019996505,62.72391719999723,66.03759019996505,66.22023969999282,76.23619039996993,76.21953070000745,77.41912699997192,77.41912699997192,None,y,1,1.0007001000340097,76.21953070000745,None,66.02158359996974,66.22023969999282,66.02158359996974,66.22023969999282,66.02158359996974,66.22023969999282,66.02158359996974,66.22023969999282,80.3188889999874,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,,2021_Mar_08_2117,Working memory load,2020.2.10,60.01453551240934,
,scrambles/id011_v1_fm.jpg,scrambles/id019_v1_fm.jpg,images/id011_v1_fm.jpg,scrambles/id001_v1_fm.jpg,images/id011_v1_fm.jpg,1,1,fm,b,scrambles/id106_v1_so.jpg,scrambles/id022_v1_fm.jpg,scrambles/id072_v1_si.jpg,scrambles/id006_v1_fm.jpg,,,0,0,0,0,,,,,,,,,0,0,0,0,0,2,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.1188761999947,None,87.16589689999819,90.46819109999342,87.16589689999819,90.46819109999342,87.16589689999819,90.46819109999342,87.16589689999819,90.46819109999342,90.6515342000057,100.6670869999798,100.65042119997088,101.85015780001413,101.85015780001413,None,b,1,1.4033279999857768,100.65042119997088,None,90.45257249998394,90.6515342000057,90.45257249998394,90.6515342000057,90.45257249998394,90.6515342000057,90.45257249998394,90.6515342000057,104.81647730001714,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,,2021_Mar_08_2117,Working memory load,2020.2.10,60.01453551240934,
