instructions,stimulus1,stimulus2,stimulus3,stimulus4,probeIm,probeCon,load,category,correctResp,mask1,mask2,mask3,mask4,dontSkipInstructions.thisRepN,dontSkipInstructions.thisTrialN,dontSkipInstructions.thisN,dontSkipInstructions.thisIndex,instructionLoop.thisRepN,instructionLoop.thisTrialN,instructionLoop.thisN,instructionLoop.thisIndex,trials_Instr.thisRepN,trials_Instr.thisTrialN,trials_Instr.thisN,trials_Instr.thisIndex,repeat_InstrTrials.thisRepN,repeat_InstrTrials.thisTrialN,repeat_InstrTrials.thisN,repeat_InstrTrials.thisIndex,trials_instr2.thisRepN,trials_instr2.thisTrialN,trials_instr2.thisN,trials_instr2.thisIndex,Welcome_text.started,Welcome_text.stopped,space1.keys,space1.rt,space1.started,space1.stopped,Instruction_text.started,Instruction_text.stopped,space2.keys,space2.rt,space2.started,space2.stopped,stim1_inst.started,stim1_inst.stopped,stim2_inst.started,stim2_inst.stopped,stim3_inst.started,stim3_inst.stopped,stim4_inst.started,stim4_inst.stopped,trialExplanation.started,trialExplanation.stopped,space3.keys,space3.rt,space3.started,space3.stopped,mask1_inst.started,mask1_inst.stopped,mask2_inst.started,mask2_inst.stopped,mask3_inst.started,mask3_inst.stopped,mask4_inst.started,mask4_inst.stopped,fixDelay_2.started,fixDelay_2.stopped,delayExplanation.started,delayExplanation.stopped,space4.keys,space4.rt,space4.started,space4.stopped,probe_inst.started,probe_inst.stopped,fixProbe_inst.started,fixProbe_inst.stopped,reponseInstr.keys,reponseInstr.corr,reponseInstr.rt,reponseInstr.started,reponseInstr.stopped,probeInst.started,probeInst.stopped,rewardInst.started,rewardInst.stopped,space5.keys,space5.rt,space5.started,space5.stopped,Button_reminder.started,Button_reminder.stopped,space6.keys,space6.rt,space6.started,space6.stopped,fixStartTrial_2.started,fixStartTrial_2.stopped,stim1_Practice.started,stim1_Practice.stopped,stim2_Practice.started,stim2_Practice.stopped,stim3_Practice.started,stim3_Practice.stopped,stim4_Practice.started,stim4_Practice.stopped,fixDelay_Practice.started,fixDelay_Practice.stopped,probe_Practice.started,probe_Practice.stopped,fixProbe_Practice.started,fixProbe_Practice.stopped,keyResp_Practice.keys,keyResp_Practice.corr,keyResp_Practice.rt,keyResp_Practice.started,keyResp_Practice.stopped,mask1_prac.started,mask1_prac.stopped,mask2_prac.started,mask2_prac.stopped,mask3_prac.started,mask3_prac.stopped,mask4_prac.started,mask4_prac.stopped,feedbackText.started,feedbackText.stopped,participant,session,age,sex at birth,dominant hand,date,expName,psychopyVersion,frameRate,
On each trial your task will be to remember images that are presented to you. The images will consist of either faces or scenes and there can be either one to four images on a trial.,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,5.163620948791504,None,b,0.8224160671234131,5.163620948791504,None,6.031063079833984,None,y,2.531654119491577,6.031063079833984,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,,2021_Mar_09_1343,Working memory load,2020.2.10,59.99696746895231,
At the end of a trial you will have to indicate whether a test image presented after a short delay was part of the items that you remembered. ,,,,,,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,8.597951889038086,None,b,0.42885303497314453,8.597951889038086,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,,2021_Mar_09_1343,Working memory load,2020.2.10,59.99696746895231,
"If the test image was part of the memory images, then you have to press the left button (index finger)",,,,,,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,9.064634084701538,None,y,1.84260892868042,9.064634084701538,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,,2021_Mar_09_1343,Working memory load,2020.2.10,59.99696746895231,
"If the image is NOT part of the memorized images, then press the right button (middle finger).",,,,,,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,10.9480299949646,None,b,0.35111117362976074,10.9480299949646,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,,2021_Mar_09_1343,Working memory load,2020.2.10,59.99696746895231,
"During the short remembering period, try to actively keep the images in your mind's eye. ",,,,,,,,,,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,11.331290006637573,None,y,0.2560739517211914,11.331290006637573,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,,2021_Mar_09_1343,Working memory load,2020.2.10,59.99696746895231,
Now we will see an example of a trial.,,,,,,,,,,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,11.632004976272583,None,b,0.25128698348999023,11.632004976272583,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,,2021_Mar_09_1343,Working memory load,2020.2.10,59.99696746895231,
,scrambles/id106_v1_so.jpg,images/id113_v1_so.jpg,scrambles/id133_v1_so.jpg,scrambles/id120_v1_so.jpg,images/id113_v1_so.jpg,1,1,so,b,scrambles/id128_v1_so.jpg,scrambles/id057_v1_ff.jpg,scrambles/id006_v1_fm.jpg,scrambles/id019_v1_fm.jpg,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,12.03131103515625,None,12.03131103515625,None,12.03131103515625,None,12.03131103515625,None,12.03131103515625,None,b,6.82164192199707,12.03131103515625,None,18.99829888343811,None,18.99829888343811,None,18.99829888343811,None,18.99829888343811,None,19.099014043807983,None,19.099014043807983,None,b,1.2263050079345703,19.099014043807983,None,20.365253925323486,22.865131855010986,22.84920597076416,None,b,1,0.46872901916503906,22.84920597076416,None,22.84920597076416,None,23.348517894744873,None,y,0.6256179809570312,23.348517894744873,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,,2021_Mar_09_1343,Working memory load,2020.2.10,59.99696746895231,
,images/id031_v1_fm.jpg,images/id002_v1_fm.jpg,images/id026_v1_fm.jpg,images/id022_v1_fm.jpg,images/id002_v1_fm.jpg,1,4,fm,b,scrambles/id022_v1_fm.jpg,scrambles/id133_v1_so.jpg,scrambles/id106_v1_so.jpg,scrambles/id085_v1_si.jpg,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.065207958221436,None,b,0.31703996658325195,24.065207958221436,None,24.431877851486206,None,30.58209800720215,33.88293695449829,30.58209800720215,33.88293695449829,30.58209800720215,33.88293695449829,30.58209800720215,33.88293695449829,34.06635594367981,44.06681990623474,44.06681990623474,45.26685905456543,45.26685905456543,None,b,1,1.8404278755187988,44.06681990623474,None,33.866278886795044,34.06635594367981,33.866278886795044,34.06635594367981,33.866278886795044,34.06635594367981,33.866278886795044,34.06635594367981,48.133667945861816,None,,001,,,,2021_Mar_09_1343,Working memory load,2020.2.10,59.99696746895231,
,images/id105_v1_si.jpg,images/id104_v1_si.jpg,images/id083_v1_si.jpg,images/id080_v1_si.jpg,images/id093_v1_si.jpg,0,4,si,y,scrambles/id072_v1_si.jpg,scrambles/id133_v1_so.jpg,scrambles/id106_v1_so.jpg,scrambles/id019_v1_fm.jpg,0,0,0,0,,,,,,,,,0,0,0,0,0,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.93394494056702,None,55.10027885437012,58.4011869430542,55.10027885437012,58.4011869430542,55.10027885437012,58.4011869430542,55.10027885437012,58.4011869430542,58.58452606201172,68.58520102500916,68.58520102500916,69.78544998168945,69.78544998168945,None,None,0,,68.58520102500916,None,58.38452100753784,58.58452606201172,58.38452100753784,58.58452606201172,58.38452100753784,58.58452606201172,58.38452100753784,58.58452606201172,72.63551187515259,None,,001,,,,2021_Mar_09_1343,Working memory load,2020.2.10,59.99696746895231,
,images/id044_v1_ff.jpg,scrambles/id054_v1_ff.jpg,scrambles/id066_v1_ff.jpg,scrambles/id056_v1_ff.jpg,images/id066_v1_ff.jpg,0,1,ff,y,scrambles/id019_v1_fm.jpg,scrambles/id057_v1_ff.jpg,scrambles/id098_v1_si.jpg,scrambles/id054_v1_ff.jpg,0,0,0,0,,,,,,,,,0,0,0,0,0,2,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.43534207344055,None,79.61864185333252,82.91957592964172,79.61864185333252,82.91957592964172,79.61864185333252,82.91957592964172,79.61864185333252,82.91957592964172,83.10294008255005,93.10356497764587,93.10356497764587,94.3036859035492,94.3036859035492,None,y,1,1.6956501007080078,93.10356497764587,None,82.90291595458984,83.10294008255005,82.90291595458984,83.10294008255005,82.90291595458984,83.10294008255005,82.90291595458984,83.10294008255005,97.13716697692871,None,,001,,,,2021_Mar_09_1343,Working memory load,2020.2.10,59.99696746895231,
