stimulus1,stimulus2,stimulus3,stimulus4,probeIm,probeCon,load,category,correctResp,arrowDir,mask1,mask2,mask3,mask4
images/id132_v1_so.jpg,images/id119_v1_so.jpg,images/id136_v1_so.jpg,images/id109_v1_so.jpg,images/id109_v1_so.jpg,1,4,so,b,<,scrambles/id036_v1_ff.jpg,scrambles/id044_v1_ff.jpg,scrambles/id073_v1_si.jpg,scrambles/id073_v1_si.jpg
images/id073_v1_si.jpg,images/id078_v1_si.jpg,images/id077_v1_si.jpg,images/id075_v1_si.jpg,images/id077_v1_si.jpg,1,4,si,b,<,scrambles/id038_v1_ff.jpg,scrambles/id044_v1_ff.jpg,scrambles/id114_v1_so.jpg,scrambles/id073_v1_si.jpg
scrambles/id073_v1_si.jpg,scrambles/id077_v1_si.jpg,images/id081_v1_si.jpg,scrambles/id071_v1_si.jpg,images/id081_v1_si.jpg,1,1,si,y,>,scrambles/id073_v1_si.jpg,scrambles/id077_v1_si.jpg,scrambles/id069_v1_ff.jpg,scrambles/id069_v1_ff.jpg
scrambles/id124_v1_so.jpg,images/id114_v1_so.jpg,scrambles/id112_v1_so.jpg,scrambles/id136_v1_so.jpg,images/id124_v1_so.jpg,0,1,so,None,<,scrambles/id014_v1_fm.jpg,scrambles/id073_v1_si.jpg,scrambles/id069_v1_ff.jpg,scrambles/id114_v1_so.jpg
images/id102_v1_si.jpg,images/id085_v1_si.jpg,images/id095_v1_si.jpg,images/id088_v1_si.jpg,images/id090_v1_si.jpg,0,4,si,None,>,scrambles/id011_v1_fm.jpg,scrambles/id077_v1_si.jpg,scrambles/id102_v1_si.jpg,scrambles/id014_v1_fm.jpg
scrambles/id036_v1_ff.jpg,scrambles/id044_v1_ff.jpg,images/id060_v1_ff.jpg,scrambles/id067_v1_ff.jpg,images/id060_v1_ff.jpg,1,1,ff,b,<,scrambles/id102_v1_si.jpg,scrambles/id011_v1_fm.jpg,scrambles/id004_v1_fm.jpg,scrambles/id032_v1_fm.jpg
scrambles/id069_v1_ff.jpg,images/id048_v1_ff.jpg,scrambles/id038_v1_ff.jpg,scrambles/id066_v1_ff.jpg,images/id044_v1_ff.jpg,0,1,ff,None,<,scrambles/id124_v1_so.jpg,scrambles/id073_v1_si.jpg,scrambles/id130_v1_so.jpg,scrambles/id102_v1_si.jpg
scrambles/id032_v1_fm.jpg,scrambles/id011_v1_fm.jpg,scrambles/id014_v1_fm.jpg,images/id017_v1_fm.jpg,images/id017_v1_fm.jpg,1,1,fm,b,<,scrambles/id036_v1_ff.jpg,scrambles/id032_v1_fm.jpg,scrambles/id077_v1_si.jpg,scrambles/id102_v1_si.jpg
images/id023_v1_fm.jpg,images/id004_v1_fm.jpg,images/id016_v1_fm.jpg,images/id033_v1_fm.jpg,images/id032_v1_fm.jpg,0,4,fm,None,<,scrambles/id044_v1_ff.jpg,scrambles/id124_v1_so.jpg,scrambles/id014_v1_fm.jpg,scrambles/id069_v1_ff.jpg
images/id100_v1_si.jpg,scrambles/id102_v1_si.jpg,scrambles/id088_v1_si.jpg,scrambles/id100_v1_si.jpg,images/id103_v1_si.jpg,0,1,si,None,>,scrambles/id114_v1_so.jpg,scrambles/id014_v1_fm.jpg,scrambles/id102_v1_si.jpg,scrambles/id114_v1_so.jpg
images/id003_v1_fm.jpg,scrambles/id004_v1_fm.jpg,scrambles/id016_v1_fm.jpg,scrambles/id003_v1_fm.jpg,images/id019_v1_fm.jpg,0,1,fm,None,>,scrambles/id036_v1_ff.jpg,scrambles/id069_v1_ff.jpg,scrambles/id069_v1_ff.jpg,scrambles/id004_v1_fm.jpg
images/id065_v1_ff.jpg,images/id064_v1_ff.jpg,images/id040_v1_ff.jpg,images/id041_v1_ff.jpg,images/id067_v1_ff.jpg,0,4,ff,None,>,scrambles/id069_v1_ff.jpg,scrambles/id044_v1_ff.jpg,scrambles/id032_v1_fm.jpg,scrambles/id069_v1_ff.jpg
scrambles/id130_v1_so.jpg,scrambles/id114_v1_so.jpg,scrambles/id132_v1_so.jpg,images/id115_v1_so.jpg,images/id115_v1_so.jpg,1,1,so,y,>,scrambles/id124_v1_so.jpg,scrambles/id004_v1_fm.jpg,scrambles/id073_v1_si.jpg,scrambles/id102_v1_si.jpg
images/id047_v1_ff.jpg,images/id069_v1_ff.jpg,images/id038_v1_ff.jpg,images/id036_v1_ff.jpg,images/id047_v1_ff.jpg,1,4,ff,y,>,scrambles/id102_v1_si.jpg,scrambles/id044_v1_ff.jpg,scrambles/id077_v1_si.jpg,scrambles/id011_v1_fm.jpg
images/id130_v1_so.jpg,images/id125_v1_so.jpg,images/id112_v1_so.jpg,images/id107_v1_so.jpg,images/id117_v1_so.jpg,0,4,so,None,<,scrambles/id036_v1_ff.jpg,scrambles/id077_v1_si.jpg,scrambles/id077_v1_si.jpg,scrambles/id032_v1_fm.jpg
images/id015_v1_fm.jpg,images/id002_v1_fm.jpg,images/id008_v1_fm.jpg,images/id009_v1_fm.jpg,images/id009_v1_fm.jpg,1,4,fm,y,>,scrambles/id036_v1_ff.jpg,scrambles/id036_v1_ff.jpg,scrambles/id124_v1_so.jpg,scrambles/id077_v1_si.jpg
