stimulus1,stimulus2,stimulus3,stimulus4,probeIm,probeCon,load,category,correctResp,mask1,mask2,mask3,mask4
images/id051_v1_ff.jpg,scrambles/id052_v1_ff.jpg,scrambles/id053_v1_ff.jpg,scrambles/id056_v1_ff.jpg,images/id051_v1_ff.jpg,1,1,ff,b,scrambles/id052_v1_ff.jpg,scrambles/id034_v1_fm.jpg,scrambles/id034_v1_fm.jpg,scrambles/id126_v1_so.jpg
scrambles/id032_v1_fm.jpg,images/id029_v1_fm.jpg,scrambles/id016_v1_fm.jpg,scrambles/id009_v1_fm.jpg,images/id029_v1_fm.jpg,1,1,fm,b,scrambles/id044_v1_ff.jpg,scrambles/id052_v1_ff.jpg,scrambles/id053_v1_ff.jpg,scrambles/id044_v1_ff.jpg
images/id096_v1_si.jpg,images/id097_v1_si.jpg,images/id093_v1_si.jpg,images/id095_v1_si.jpg,images/id093_v1_si.jpg,1,4,si,b,scrambles/id096_v1_si.jpg,scrambles/id125_v1_so.jpg,scrambles/id126_v1_so.jpg,scrambles/id016_v1_fm.jpg
images/id137_v1_so.jpg,images/id111_v1_so.jpg,images/id138_v1_so.jpg,images/id129_v1_so.jpg,images/id137_v1_so.jpg,1,4,so,b,scrambles/id053_v1_ff.jpg,scrambles/id052_v1_ff.jpg,scrambles/id044_v1_ff.jpg,scrambles/id093_v1_si.jpg
scrambles/id077_v1_si.jpg,scrambles/id096_v1_si.jpg,images/id072_v1_si.jpg,scrambles/id103_v1_si.jpg,images/id072_v1_si.jpg,1,1,si,b,scrambles/id093_v1_si.jpg,scrambles/id010_v1_fm.jpg,scrambles/id044_v1_ff.jpg,scrambles/id044_v1_ff.jpg
images/id054_v1_ff.jpg,scrambles/id063_v1_ff.jpg,scrambles/id044_v1_ff.jpg,scrambles/id048_v1_ff.jpg,images/id063_v1_ff.jpg,0,1,ff,y,scrambles/id034_v1_fm.jpg,scrambles/id044_v1_ff.jpg,scrambles/id032_v1_fm.jpg,scrambles/id044_v1_ff.jpg
images/id085_v1_si.jpg,images/id103_v1_si.jpg,images/id083_v1_si.jpg,images/id094_v1_si.jpg,images/id101_v1_si.jpg,0,4,si,y,scrambles/id126_v1_so.jpg,scrambles/id126_v1_so.jpg,scrambles/id077_v1_si.jpg,scrambles/id052_v1_ff.jpg
images/id022_v1_fm.jpg,images/id010_v1_fm.jpg,images/id002_v1_fm.jpg,images/id032_v1_fm.jpg,images/id026_v1_fm.jpg,0,4,fm,y,scrambles/id053_v1_ff.jpg,scrambles/id010_v1_fm.jpg,scrambles/id125_v1_so.jpg,scrambles/id096_v1_si.jpg
scrambles/id093_v1_si.jpg,scrambles/id085_v1_si.jpg,images/id086_v1_si.jpg,scrambles/id095_v1_si.jpg,images/id077_v1_si.jpg,0,1,si,y,scrambles/id093_v1_si.jpg,scrambles/id044_v1_ff.jpg,scrambles/id126_v1_so.jpg,scrambles/id093_v1_si.jpg
images/id039_v1_ff.jpg,images/id044_v1_ff.jpg,images/id052_v1_ff.jpg,images/id049_v1_ff.jpg,images/id056_v1_ff.jpg,0,4,ff,y,scrambles/id126_v1_so.jpg,scrambles/id010_v1_fm.jpg,scrambles/id032_v1_fm.jpg,scrambles/id034_v1_fm.jpg
images/id134_v1_so.jpg,images/id109_v1_so.jpg,images/id133_v1_so.jpg,images/id120_v1_so.jpg,images/id135_v1_so.jpg,0,4,so,y,scrambles/id032_v1_fm.jpg,scrambles/id044_v1_ff.jpg,scrambles/id032_v1_fm.jpg,scrambles/id034_v1_fm.jpg
images/id016_v1_fm.jpg,images/id012_v1_fm.jpg,images/id005_v1_fm.jpg,images/id034_v1_fm.jpg,images/id005_v1_fm.jpg,1,4,fm,b,scrambles/id093_v1_si.jpg,scrambles/id096_v1_si.jpg,scrambles/id052_v1_ff.jpg,scrambles/id063_v1_ff.jpg
scrambles/id010_v1_fm.jpg,images/id033_v1_fm.jpg,scrambles/id034_v1_fm.jpg,scrambles/id026_v1_fm.jpg,images/id017_v1_fm.jpg,0,1,fm,y,scrambles/id063_v1_ff.jpg,scrambles/id134_v1_so.jpg,scrambles/id125_v1_so.jpg,scrambles/id134_v1_so.jpg
scrambles/id126_v1_so.jpg,scrambles/id135_v1_so.jpg,scrambles/id133_v1_so.jpg,images/id114_v1_so.jpg,images/id126_v1_so.jpg,0,1,so,y,scrambles/id016_v1_fm.jpg,scrambles/id063_v1_ff.jpg,scrambles/id126_v1_so.jpg,scrambles/id077_v1_si.jpg
images/id053_v1_ff.jpg,images/id061_v1_ff.jpg,images/id057_v1_ff.jpg,images/id043_v1_ff.jpg,images/id057_v1_ff.jpg,1,4,ff,b,scrambles/id034_v1_fm.jpg,scrambles/id093_v1_si.jpg,scrambles/id096_v1_si.jpg,scrambles/id063_v1_ff.jpg
scrambles/id134_v1_so.jpg,scrambles/id125_v1_so.jpg,scrambles/id130_v1_so.jpg,images/id131_v1_so.jpg,images/id131_v1_so.jpg,1,1,so,b,scrambles/id053_v1_ff.jpg,scrambles/id134_v1_so.jpg,scrambles/id016_v1_fm.jpg,scrambles/id052_v1_ff.jpg
