stimulus1;stimulus2;stimulus3;stimulus4;probeIm;probeCon;load;category;correctResp;mask1;mask2;mask3;mask4
scrambles/id106_v1_so.jpg;images/id113_v1_so.jpg;scrambles/id133_v1_so.jpg;scrambles/id120_v1_so.jpg;images/id113_v1_so.jpg;1;1;so;b;scrambles/id128_v1_so.jpg;scrambles/id057_v1_ff.jpg;scrambles/id006_v1_fm.jpg;scrambles/id019_v1_fm.jpg
images/id085_v1_si.jpg;images/id072_v1_si.jpg;images/id098_v1_si.jpg;images/id079_v1_si.jpg;images/id079_v1_si.jpg;1;4;si;b;scrambles/id022_v1_fm.jpg;scrambles/id133_v1_so.jpg;scrambles/id098_v1_si.jpg;scrambles/id011_v1_fm.jpg
images/id031_v1_fm.jpg;images/id002_v1_fm.jpg;images/id026_v1_fm.jpg;images/id022_v1_fm.jpg;images/id002_v1_fm.jpg;1;4;fm;b;scrambles/id022_v1_fm.jpg;scrambles/id133_v1_so.jpg;scrambles/id106_v1_so.jpg;scrambles/id085_v1_si.jpg
scrambles/id072_v1_si.jpg;scrambles/id085_v1_si.jpg;scrambles/id089_v1_si.jpg;images/id102_v1_si.jpg;images/id086_v1_si.jpg;0;1;si;y;scrambles/id019_v1_fm.jpg;scrambles/id133_v1_so.jpg;scrambles/id085_v1_si.jpg;scrambles/id011_v1_fm.jpg
images/id128_v1_so.jpg;images/id110_v1_so.jpg;images/id129_v1_so.jpg;images/id125_v1_so.jpg;images/id116_v1_so.jpg;0;4;so;y;scrambles/id006_v1_fm.jpg;scrambles/id011_v1_fm.jpg;scrambles/id072_v1_si.jpg;scrambles/id022_v1_fm.jpg
images/id105_v1_si.jpg;images/id104_v1_si.jpg;images/id083_v1_si.jpg;images/id080_v1_si.jpg;images/id093_v1_si.jpg;0;4;si;y;scrambles/id072_v1_si.jpg;scrambles/id133_v1_so.jpg;scrambles/id106_v1_so.jpg;scrambles/id019_v1_fm.jpg
scrambles/id011_v1_fm.jpg;scrambles/id019_v1_fm.jpg;images/id011_v1_fm.jpg;scrambles/id001_v1_fm.jpg;images/id011_v1_fm.jpg;1;1;fm;b;scrambles/id106_v1_so.jpg;scrambles/id022_v1_fm.jpg;scrambles/id072_v1_si.jpg;scrambles/id006_v1_fm.jpg
images/id015_v1_fm.jpg;images/id006_v1_fm.jpg;images/id001_v1_fm.jpg;images/id016_v1_fm.jpg;images/id008_v1_fm.jpg;0;4;fm;y;scrambles/id011_v1_fm.jpg;scrambles/id006_v1_fm.jpg;scrambles/id072_v1_si.jpg;scrambles/id098_v1_si.jpg
images/id044_v1_ff.jpg;scrambles/id054_v1_ff.jpg;scrambles/id066_v1_ff.jpg;scrambles/id056_v1_ff.jpg;images/id066_v1_ff.jpg;0;1;ff;y;scrambles/id019_v1_fm.jpg;scrambles/id057_v1_ff.jpg;scrambles/id098_v1_si.jpg;scrambles/id054_v1_ff.jpg
scrambles/id006_v1_fm.jpg;scrambles/id022_v1_fm.jpg;images/id019_v1_fm.jpg;scrambles/id033_v1_fm.jpg;images/id013_v1_fm.jpg;0;1;fm;y;scrambles/id019_v1_fm.jpg;scrambles/id022_v1_fm.jpg;scrambles/id072_v1_si.jpg;scrambles/id011_v1_fm.jpg
images/id137_v1_so.jpg;scrambles/id128_v1_so.jpg;scrambles/id129_v1_so.jpg;scrambles/id110_v1_so.jpg;images/id120_v1_so.jpg;0;1;so;y;scrambles/id011_v1_fm.jpg;scrambles/id128_v1_so.jpg;scrambles/id098_v1_si.jpg;scrambles/id019_v1_fm.jpg
images/id057_v1_ff.jpg;images/id051_v1_ff.jpg;images/id065_v1_ff.jpg;images/id068_v1_ff.jpg;images/id065_v1_ff.jpg;1;4;ff;b;scrambles/id019_v1_fm.jpg;scrambles/id011_v1_fm.jpg;scrambles/id057_v1_ff.jpg;scrambles/id051_v1_ff.jpg
scrambles/id098_v1_si.jpg;images/id095_v1_si.jpg;scrambles/id084_v1_si.jpg;scrambles/id086_v1_si.jpg;images/id095_v1_si.jpg;1;1;si;b;scrambles/id128_v1_so.jpg;scrambles/id006_v1_fm.jpg;scrambles/id133_v1_so.jpg;scrambles/id006_v1_fm.jpg
images/id124_v1_so.jpg;images/id107_v1_so.jpg;images/id112_v1_so.jpg;images/id106_v1_so.jpg;images/id106_v1_so.jpg;1;4;so;b;scrambles/id133_v1_so.jpg;scrambles/id106_v1_so.jpg;scrambles/id133_v1_so.jpg;scrambles/id128_v1_so.jpg
scrambles/id051_v1_ff.jpg;scrambles/id039_v1_ff.jpg;scrambles/id057_v1_ff.jpg;images/id046_v1_ff.jpg;images/id046_v1_ff.jpg;1;1;ff;b;scrambles/id057_v1_ff.jpg;scrambles/id006_v1_fm.jpg;scrambles/id022_v1_fm.jpg;scrambles/id011_v1_fm.jpg
images/id056_v1_ff.jpg;images/id055_v1_ff.jpg;images/id054_v1_ff.jpg;images/id039_v1_ff.jpg;images/id061_v1_ff.jpg;0;4;ff;y;scrambles/id128_v1_so.jpg;scrambles/id054_v1_ff.jpg;scrambles/id022_v1_fm.jpg;scrambles/id006_v1_fm.jpg
